scenario,algorithm,seed,num_devices,overall_sla_violation_count,overall_sla_violation_rate_pct,fairness_index,utility_score,mmtc_avg_latency_ms,mmtc_p95_latency_ms,mmtc_p99_latency_ms,mmtc_avg_throughput_mbps,mmtc_avg_packet_loss_pct,mmtc_sla_violation_rate_pct,mmtc_load_ratio,embb_avg_latency_ms,embb_p95_latency_ms,embb_p99_latency_ms,embb_avg_throughput_mbps,embb_avg_packet_loss_pct,embb_sla_violation_rate_pct,embb_load_ratio,urllc_avg_latency_ms,urllc_p95_latency_ms,urllc_p99_latency_ms,urllc_avg_throughput_mbps,urllc_avg_packet_loss_pct,urllc_sla_violation_rate_pct,urllc_load_ratio
balanced,static,27,180,154,85.556,0.6394,0.2262,91.595,97.994,98.188,0.534,1.413,100.0,0.749,134.254,154.289,154.585,6.069,6.1,100.0,2.395,7.436,9.254,9.947,4.405,0.116,3.704,0.794
balanced,static,28,180,148,82.222,0.5843,0.2162,87.882,94.128,94.401,0.459,1.389,86.598,0.676,141.218,159.88,160.325,5.981,6.529,100.0,2.47,6.367,7.781,7.935,5.25,0.148,0.0,0.683
balanced,static,29,180,156,86.667,0.5613,0.2506,88.683,95.247,95.407,0.504,1.407,92.105,0.694,104.75,119.687,120.15,8.681,4.524,100.0,1.958,6.377,9.14,9.399,6.07,0.129,0.0,0.627
balanced,static,30,180,152,84.444,0.5964,0.2183,89.258,95.118,95.271,0.457,1.411,90.625,0.697,143.212,165.396,165.924,6.217,6.558,100.0,2.538,7.268,10.054,10.127,5.368,0.141,9.524,0.746
balanced,dynamic,1,180,180,100.0,0.8102,0.2665,152.088,159.938,160.239,1.412,2.86,100.0,1.277,72.504,81.654,82.475,16.233,2.427,100.0,1.51,15.049,18.834,19.298,8.176,0.382,100.0,1.52
balanced,dynamic,2,180,179,99.444,0.7809,0.3209,101.664,107.593,107.82,1.175,1.405,100.0,1.0,66.215,74.642,75.832,18.936,2.147,96.552,1.418,14.256,17.37,17.716,8.074,0.338,100.0,1.408
balanced,dynamic,3,180,180,100.0,0.8119,0.2649,162.987,172.969,173.159,1.602,3.163,100.0,1.346,76.548,86.628,86.782,18.39,2.614,100.0,1.563,16.234,21.889,23.322,10.452,0.407,100.0,1.587
balanced,dynamic,4,180,180,100.0,0.8153,0.2726,153.838,163.813,164.161,1.544,2.891,100.0,1.298,71.748,81.43,82.325,19.481,2.391,100.0,1.508,15.208,19.492,19.779,7.678,0.381,100.0,1.525
balanced,dynamic,5,180,180,100.0,0.8124,0.2893,138.653,148.314,148.564,1.59,2.465,100.0,1.215,70.252,79.697,79.961,20.089,2.303,100.0,1.477,13.642,18.037,19.335,9.067,0.321,100.0,1.464
balanced,dynamic,6,180,180,100.0,0.8313,0.237,188.217,200.66,200.903,1.597,3.867,100.0,1.491,90.316,101.071,102.042,14.164,3.232,100.0,1.764,18.957,24.019,25.509,7.501,0.471,100.0,1.764
balanced,dynamic,7,180,175,97.222,0.7789,0.3203,99.086,106.334,106.445,1.06,1.351,100.0,0.972,65.819,74.354,75.157,20.333,2.08,81.481,1.412,13.383,16.476,16.639,10.243,0.319,100.0,1.397
balanced,dynamic,8,180,180,100.0,0.8151,0.2624,154.455,162.399,162.498,1.395,2.916,100.0,1.289,73.538,82.269,82.688,17.571,2.468,100.0,1.514,15.667,20.243,21.452,9.741,0.371,100.0,1.496
balanced,dynamic,9,180,180,100.0,0.7726,0.3196,99.421,105.147,105.35,1.011,1.341,100.0,0.95,68.474,76.817,78.121,17.993,2.24,100.0,1.456,14.334,19.35,19.5,7.842,0.321,100.0,1.51
balanced,dynamic,10,180,180,100.0,0.8171,0.2549,163.639,173.283,173.44,1.404,3.173,100.0,1.346,75.51,84.035,85.731,18.984,2.559,100.0,1.557,15.705,20.681,22.277,8.257,0.404,100.0,1.553
balanced,dynamic,11,180,180,100.0,0.8072,0.303,128.449,136.629,137.095,1.623,2.178,100.0,1.155,67.799,76.676,77.187,19.048,2.203,100.0,1.435,14.038,18.113,18.658,8.448,0.317,100.0,1.437
balanced,dynamic,12,180,180,100.0,0.8105,0.2935,138.36,146.608,146.979,1.68,2.441,100.0,1.207,69.839,78.681,78.966,19.526,2.285,100.0,1.46,14.324,18.548,18.872,9.255,0.349,100.0,1.478
balanced,dynamic,13,180,180,100.0,0.8132,0.2838,142.81,153.465,153.811,1.63,2.585,100.0,1.243,71.702,80.715,80.925,18.952,2.412,100.0,1.498,15.723,21.044,21.268,11.618,0.371,100.0,1.498
balanced,dynamic,14,180,173,96.111,0.766,0.3358,96.105,102.553,102.911,1.177,1.274,100.0,0.902,63.331,72.607,73.02,17.106,1.993,84.848,1.381,12.429,16.321,16.914,7.167,0.273,95.122,1.373
balanced,dynamic,15,180,180,100.0,0.8185,0.2709,160.908,170.863,171.185,1.729,3.09,100.0,1.334,78.983,87.155,87.587,17.615,2.712,100.0,1.583,16.268,20.575,21.094,8.508,0.386,100.0,1.582
balanced,dynamic,16,180,180,100.0,0.7537,0.3174,97.805,103.908,104.288,0.873,1.307,100.0,0.931,69.276,77.647,78.167,18.976,2.259,100.0,1.467,14.494,17.889,18.335,7.631,0.324,100.0,1.456
balanced,dynamic,17,180,180,100.0,0.7943,0.2874,120.409,127.566,127.681,1.079,1.926,100.0,1.105,70.97,78.682,80.314,19.641,2.36,100.0,1.494,14.903,18.847,19.982,9.323,0.353,100.0,1.501
balanced,dynamic,18,180,180,100.0,0.8196,0.2375,183.912,197.082,197.446,1.45,3.747,100.0,1.473,88.535,98.849,100.075,16.227,3.162,100.0,1.743,18.871,23.289,23.822,6.877,0.465,100.0,1.742
balanced,dynamic,19,180,180,100.0,0.8091,0.2747,136.745,145.758,146.0,1.256,2.398,100.0,1.201,70.139,77.927,80.283,19.847,2.297,100.0,1.487,14.519,18.478,19.532,10.316,0.355,100.0,1.499
balanced,dynamic,20,180,180,100.0,0.7656,0.3086,100.195,106.81,107.178,0.94,1.374,100.0,0.992,74.02,83.029,83.556,15.932,2.48,100.0,1.524,14.589,21.303,21.973,7.611,0.341,100.0,1.512
balanced,dynamic,21,180,180,100.0,0.8129,0.282,147.078,157.176,157.264,1.674,2.698,100.0,1.26,75.182,85.25,85.317,18.033,2.529,100.0,1.542,15.721,19.951,21.93,9.441,0.391,100.0,1.54
balanced,dynamic,22,180,159,88.333,0.7413,0.3396,89.825,95.102,95.244,0.872,1.179,95.122,0.749,57.025,63.873,65.479,20.947,1.699,67.857,1.285,11.456,13.461,14.528,10.516,0.259,79.31,1.275
balanced,dynamic,23,180,180,100.0,0.8255,0.2416,178.548,188.157,188.412,1.429,3.592,100.0,1.425,83.961,94.551,95.752,15.87,2.977,100.0,1.683,18.059,22.368,22.826,6.84,0.453,100.0,1.69
balanced,dynamic,24,180,177,98.333,0.8069,0.2973,127.033,135.007,135.123,1.454,2.122,100.0,1.144,65.06,73.505,74.877,19.447,2.103,90.0,1.406,13.64,18.054,19.341,9.378,0.343,100.0,1.407
balanced,dynamic,25,180,179,99.444,0.715,0.3201,91.877,97.001,97.237,0.585,1.173,100.0,0.789,65.992,74.8,75.015,17.74,2.138,100.0,1.405,12.582,16.699,17.406,8.186,0.304,96.875,1.37
balanced,dynamic,26,180,180,100.0,0.7374,0.3096,96.511,102.497,103.096,0.713,1.287,100.0,0.905,73.082,81.517,82.093,18.069,2.431,100.0,1.501,14.212,19.064,20.756,8.131,0.334,100.0,1.475
balanced,dynamic,27,180,180,100.0,0.8214,0.2412,183.585,196.067,196.264,1.53,3.73,100.0,1.466,89.132,100.992,101.16,14.704,3.179,100.0,1.751,18.43,23.12,23.305,6.282,0.465,100.0,1.752
balanced,dynamic,28,180,180,100.0,0.8224,0.2418,180.789,193.205,193.504,1.577,3.639,100.0,1.452,90.461,100.889,101.253,14.463,3.249,100.0,1.754,18.924,25.004,26.19,7.483,0.52,100.0,1.765
balanced,dynamic,29,180,180,100.0,0.7907,0.2981,114.589,122.293,122.46,1.178,1.783,100.0,1.077,70.613,79.728,80.139,17.704,2.307,100.0,1.478,14.547,18.022,19.896,8.847,0.345,100.0,1.451
balanced,dynamic,30,180,180,100.0,0.8299,0.2315,192.715,204.864,205.014,1.543,3.989,100.0,1.514,93.851,105.263,106.085,13.59,3.41,100.0,1.815,19.213,24.694,26.923,6.833,0.499,100.0,1.816
video_heavy,static,1,180,143,79.444,0.5368,0.1845,85.306,90.218,90.345,0.502,1.445,75.0,0.598,200.061,230.925,231.314,5.869,9.572,100.0,3.38,6.769,8.783,9.593,6.646,0.14,0.0,0.767
video_heavy,static,2,180,148,82.222,0.4488,0.1677,83.75,88.357,88.713,0.536,1.431,70.312,0.565,227.68,258.771,259.35,5.995,11.115,100.0,3.734,6.354,7.848,7.894,5.422,0.158,0.0,0.549
video_heavy,static,3,180,143,79.444,0.4432,0.1686,78.244,82.773,83.106,0.472,1.449,59.677,0.462,217.932,249.01,249.506,5.752,10.569,100.0,3.612,6.76,8.028,8.59,5.789,0.144,0.0,0.463
video_heavy,static,4,180,145,80.556,0.4677,0.1731,82.582,87.718,87.907,0.525,1.433,70.769,0.554,222.378,253.789,255.001,6.149,10.786,100.0,3.679,6.731,8.159,8.517,5.41,0.163,0.0,0.586
video_heavy,static,5,180,129,71.667,0.4767,0.1808,77.482,82.822,83.012,0.477,1.411,50.0,0.46,206.007,240.058,240.773,6.063,9.796,100.0,3.498,5.802,8.175,9.127,4.982,0.133,0.0,0.531
video_heavy,static,6,180,151,83.889,0.4579,0.1688,86.975,92.108,92.267,0.55,1.44,76.923,0.634,228.035,261.096,261.871,6.05,11.064,100.0,3.765,6.103,7.424,7.483,5.443,0.156,0.0,0.631
video_heavy,static,7,180,126,70.0,0.5432,0.1909,81.346,88.206,88.397,0.496,1.381,55.714,0.561,188.348,214.631,215.56,5.838,8.986,100.0,3.18,7.073,9.703,9.765,5.533,0.133,0.0,0.709
video_heavy,static,8,180,140,77.778,0.4574,0.17,83.185,88.847,89.186,0.54,1.404,64.062,0.575,228.897,257.302,257.546,6.173,11.261,100.0,3.711,6.767,8.276,8.284,4.527,0.152,0.0,0.577
video_heavy,static,9,180,138,76.667,0.5485,0.19,86.157,91.903,92.231,0.532,1.416,71.233,0.633,189.181,217.536,218.451,5.854,8.958,100.0,3.213,6.77,8.692,9.063,5.952,0.121,0.0,0.758
video_heavy,static,10,180,145,80.556,0.4345,0.1642,83.438,88.677,88.811,0.482,1.425,67.308,0.572,248.525,287.318,288.205,6.209,12.083,100.0,4.106,5.927,7.801,8.289,4.291,0.145,0.0,0.615
video_heavy,static,11,180,118,65.556,0.5512,0.1863,77.151,82.001,82.021,0.49,1.427,39.286,0.438,208.827,234.836,235.349,6.004,10.169,100.0,3.429,6.689,9.258,9.735,6.057,0.14,0.0,0.738
video_heavy,static,12,180,121,67.222,0.4986,0.1827,76.789,82.129,82.298,0.565,1.412,39.344,0.444,201.561,230.576,231.392,5.879,9.661,100.0,3.376,5.986,7.662,8.116,4.814,0.123,0.0,0.53
video_heavy,static,13,180,130,72.222,0.4569,0.1693,76.251,81.908,82.118,0.578,1.42,36.207,0.44,225.005,257.653,258.185,5.867,10.91,100.0,3.721,5.745,7.203,7.219,6.379,0.136,0.0,0.463
video_heavy,static,14,180,134,74.444,0.509,0.1782,80.238,86.552,86.814,0.568,1.397,59.016,0.529,212.152,238.618,239.555,5.869,10.322,100.0,3.485,6.779,8.343,9.273,5.557,0.136,0.0,0.646
video_heavy,static,15,180,141,78.333,0.454,0.1714,78.528,83.883,84.147,0.566,1.397,62.295,0.481,226.943,258.646,259.185,6.173,11.041,100.0,3.741,6.229,7.911,8.702,4.903,0.115,0.0,0.487
video_heavy,static,16,180,147,81.667,0.4961,0.1755,87.024,91.661,92.227,0.489,1.425,77.273,0.634,216.565,245.474,246.004,5.985,10.522,100.0,3.567,6.998,9.24,9.967,5.565,0.109,5.263,0.731
video_heavy,static,17,180,141,78.333,0.4995,0.182,86.831,92.831,93.152,0.518,1.389,73.239,0.652,208.291,240.581,240.91,6.241,9.966,100.0,3.5,6.709,8.229,8.403,5.008,0.135,0.0,0.712
video_heavy,static,18,180,152,84.444,0.4378,0.1608,86.025,92.758,93.019,0.53,1.4,75.926,0.65,258.533,295.257,295.674,6.205,12.726,100.0,4.199,7.011,8.526,8.567,5.18,0.146,0.0,0.678
video_heavy,static,19,180,137,76.111,0.529,0.187,84.841,89.702,89.775,0.506,1.423,70.588,0.59,197.866,227.525,228.276,6.009,9.446,100.0,3.345,6.716,8.622,9.002,5.374,0.107,0.0,0.727
video_heavy,static,20,180,157,87.222,0.4587,0.1649,87.461,93.364,93.709,0.505,1.414,85.0,0.668,229.002,261.8,262.356,5.679,11.13,100.0,3.776,6.649,8.67,9.571,5.799,0.13,0.0,0.7
video_heavy,static,21,180,136,75.556,0.4708,0.1711,77.617,82.792,82.905,0.561,1.433,49.123,0.454,216.247,247.961,248.025,5.635,10.437,100.0,3.588,5.741,7.798,8.936,6.127,0.14,0.0,0.51
video_heavy,static,22,180,113,62.778,0.5044,0.1819,75.993,81.416,81.571,0.447,1.411,25.0,0.427,201.013,228.883,229.322,5.744,9.678,100.0,3.354,6.109,7.958,7.978,5.397,0.135,0.0,0.583
video_heavy,static,23,180,150,83.333,0.5008,0.1728,87.612,93.835,94.034,0.53,1.403,83.051,0.671,241.889,276.759,277.164,6.399,11.818,100.0,3.964,7.585,9.561,9.93,6.196,0.146,4.762,0.852
video_heavy,static,24,180,149,82.778,0.4527,0.1708,81.036,86.031,86.118,0.58,1.431,72.059,0.515,214.722,241.025,241.895,5.869,10.504,100.0,3.511,5.787,8.131,8.445,5.258,0.134,0.0,0.458
video_heavy,static,25,180,159,88.333,0.5076,0.1839,89.699,94.654,94.79,0.574,1.447,97.368,0.683,199.402,227.628,228.363,6.153,9.557,100.0,3.342,6.474,8.041,8.129,4.769,0.137,0.0,0.687
video_heavy,static,26,180,154,85.556,0.4848,0.1725,87.99,93.832,94.326,0.509,1.419,85.938,0.681,225.915,258.727,259.654,6.076,10.927,100.0,3.747,7.476,9.432,10.221,5.64,0.144,5.556,0.765
video_heavy,static,27,180,149,82.778,0.4802,0.1712,87.152,94.738,94.994,0.589,1.364,83.333,0.687,230.46,261.95,262.701,6.091,11.247,100.0,3.779,6.64,9.43,9.832,4.558,0.126,0.0,0.74
video_heavy,static,28,180,129,71.667,0.5554,0.1857,84.659,91.576,91.756,0.5,1.376,56.923,0.627,195.508,219.581,220.071,5.588,9.463,100.0,3.231,7.815,9.84,10.194,5.585,0.149,8.0,0.829
video_heavy,static,29,180,130,72.222,0.5581,0.1907,84.03,90.12,90.555,0.52,1.408,60.606,0.601,186.328,213.67,214.79,5.591,8.837,100.0,3.171,7.673,8.754,9.894,5.503,0.117,4.0,0.785
video_heavy,static,30,180,152,84.444,0.4524,0.1628,86.813,92.294,92.861,0.538,1.427,75.862,0.646,239.779,271.641,271.867,5.848,11.775,100.0,3.898,6.546,8.276,8.294,5.696,0.108,0.0,0.669
video_heavy,dynamic,1,180,180,100.0,0.894,0.1813,271.114,286.023,286.15,1.909,6.236,100.0,1.94,124.364,140.837,141.068,6.258,4.805,100.0,2.284,26.945,35.355,37.199,3.853,0.76,100.0,2.313
video_heavy,dynamic,2,180,180,100.0,0.869,0.1772,289.204,306.328,306.688,1.913,6.719,100.0,2.048,136.433,152.654,153.123,6.279,5.372,100.0,2.436,30.542,38.452,39.605,4.294,0.866,100.0,2.457
video_heavy,dynamic,3,180,180,100.0,0.8907,0.1851,269.293,285.43,285.791,2.17,6.18,100.0,1.939,127.536,143.415,143.629,5.978,4.946,100.0,2.318,29.422,37.008,37.815,4.379,0.833,100.0,2.364
video_heavy,dynamic,4,180,180,100.0,0.8765,0.1796,284.729,301.577,301.825,1.948,6.61,100.0,2.024,133.611,149.091,150.286,6.422,5.213,100.0,2.402,30.301,38.281,39.4,4.123,0.868,100.0,2.456
video_heavy,dynamic,5,180,180,100.0,0.8974,0.1905,260.796,278.554,278.795,2.274,5.901,100.0,1.903,117.415,139.674,140.46,5.699,4.41,100.0,2.271,27.206,36.422,36.876,4.723,0.759,100.0,2.304
video_heavy,dynamic,6,180,180,100.0,0.8532,0.1732,298.326,315.839,315.994,1.718,6.992,100.0,2.098,139.72,156.381,156.885,6.339,5.496,100.0,2.484,30.406,38.353,40.0,4.182,0.86,100.0,2.512
video_heavy,dynamic,7,180,180,100.0,0.8842,0.2023,241.193,259.328,259.64,2.085,5.345,100.0,1.801,118.068,131.07,131.449,8.063,4.539,100.0,2.156,24.706,31.959,32.258,4.068,0.662,100.0,2.164
video_heavy,dynamic,8,180,180,100.0,0.8702,0.1778,286.937,305.915,306.245,1.892,6.645,100.0,2.046,136.762,152.128,152.301,6.439,5.391,100.0,2.426,31.51,39.277,39.826,4.099,0.909,100.0,2.464
video_heavy,dynamic,9,180,180,100.0,0.8883,0.1892,253.233,269.657,269.992,1.917,5.701,100.0,1.855,114.28,133.181,134.06,6.27,4.282,100.0,2.188,25.975,33.919,35.196,4.987,0.682,100.0,2.227
video_heavy,dynamic,10,180,180,100.0,0.8078,0.1752,323.536,344.937,345.149,1.667,7.681,100.0,2.253,148.476,168.788,169.645,6.55,5.868,100.0,2.656,33.201,42.303,44.106,4.012,0.952,100.0,2.729
video_heavy,dynamic,11,180,180,100.0,0.8939,0.1952,260.515,276.281,276.304,2.443,5.911,100.0,1.889,127.096,141.321,141.642,6.432,4.939,100.0,2.287,26.949,34.441,35.71,3.475,0.753,100.0,2.313
video_heavy,dynamic,12,180,180,100.0,0.8901,0.204,248.665,265.644,265.904,2.465,5.559,100.0,1.833,119.533,134.205,134.796,7.239,4.567,100.0,2.194,25.836,33.422,34.954,3.885,0.696,100.0,2.239
video_heavy,dynamic,13,180,180,100.0,0.8848,0.1875,273.089,292.833,293.176,2.348,6.257,100.0,1.978,132.281,148.636,149.241,6.006,5.166,100.0,2.386,29.316,38.214,38.778,4.462,0.806,100.0,2.417
video_heavy,dynamic,14,180,180,100.0,0.8918,0.1874,265.94,284.84,285.158,2.18,6.056,100.0,1.935,128.676,142.301,142.727,6.232,5.006,100.0,2.301,28.204,35.527,36.821,3.721,0.79,100.0,2.349
video_heavy,dynamic,15,180,180,100.0,0.8787,0.1857,277.087,296.358,296.633,2.164,6.348,100.0,1.997,134.414,149.025,150.051,6.475,5.264,100.0,2.407,29.522,38.605,39.066,4.17,0.817,100.0,2.453
video_heavy,dynamic,16,180,180,100.0,0.8768,0.1758,286.387,302.369,302.943,1.781,6.635,100.0,2.029,133.369,148.603,149.116,6.393,5.222,100.0,2.386,29.228,37.552,38.011,3.823,0.815,100.0,2.434
video_heavy,dynamic,17,180,180,100.0,0.8865,0.177,273.973,292.359,292.683,1.791,6.262,100.0,1.975,123.608,146.302,146.639,5.62,4.691,100.0,2.352,28.366,36.532,37.627,4.657,0.792,100.0,2.392
video_heavy,dynamic,18,180,180,100.0,0.8005,0.1693,334.07,361.018,361.143,1.564,7.933,100.0,2.336,156.075,175.355,176.433,6.529,6.242,100.0,2.746,36.047,44.321,46.251,4.355,1.039,100.0,2.794
video_heavy,dynamic,19,180,180,100.0,0.9022,0.1875,259.224,274.624,274.69,2.062,5.872,100.0,1.881,123.902,139.042,139.928,6.43,4.762,100.0,2.268,25.941,32.793,35.028,3.708,0.699,100.0,2.265
video_heavy,dynamic,20,180,180,100.0,0.8468,0.1728,299.834,320.204,320.511,1.686,7.013,100.0,2.123,140.256,158.014,158.398,5.903,5.52,100.0,2.507,31.209,40.521,41.131,4.074,0.877,100.0,2.561
video_heavy,dynamic,21,180,180,100.0,0.8931,0.1907,265.124,283.133,283.27,2.374,6.033,100.0,1.925,128.235,144.053,144.072,6.032,4.955,100.0,2.316,28.385,37.764,38.347,3.949,0.797,100.0,2.366
video_heavy,dynamic,22,180,180,100.0,0.8923,0.2024,247.596,264.516,264.682,2.462,5.533,100.0,1.827,119.852,134.178,134.606,6.953,4.594,100.0,2.195,25.911,33.957,34.982,3.857,0.716,100.0,2.231
video_heavy,dynamic,23,180,180,100.0,0.808,0.1703,320.905,343.762,344.047,1.479,7.59,100.0,2.246,151.248,169.571,169.711,6.757,6.026,100.0,2.656,33.302,43.334,44.363,4.02,0.949,100.0,2.715
video_heavy,dynamic,24,180,180,100.0,0.8965,0.1828,266.93,282.521,282.623,2.026,6.096,100.0,1.922,125.469,139.734,140.637,6.223,4.865,100.0,2.271,28.255,35.333,36.147,4.481,0.814,100.0,2.288
video_heavy,dynamic,25,180,180,100.0,0.8975,0.179,268.754,282.855,283.041,1.764,6.169,100.0,1.924,124.796,138.865,139.162,6.869,4.824,100.0,2.255,26.422,34.387,35.252,3.754,0.722,100.0,2.284
video_heavy,dynamic,26,180,180,100.0,0.8437,0.1712,304.334,325.076,325.683,1.583,7.147,100.0,2.15,140.616,157.239,157.942,6.566,5.513,100.0,2.51,30.921,38.715,40.186,3.861,0.861,100.0,2.543
video_heavy,dynamic,27,180,180,100.0,0.8359,0.1737,299.701,324.56,324.851,1.619,6.961,100.0,2.144,142.208,158.621,159.931,6.302,5.613,100.0,2.529,31.121,40.381,41.697,3.816,0.872,100.0,2.558
video_heavy,dynamic,28,180,180,100.0,0.8953,0.1905,250.013,269.062,269.315,2.01,5.585,100.0,1.852,124.197,136.93,137.057,6.581,4.834,100.0,2.223,26.615,34.493,35.536,3.55,0.736,100.0,2.257
